Comment,processed_text,tokens
"Pada debat2 rubut , gw mah diem aja ngal bisa beli soalnya 😂😂",debat rubut gw mah diem aja ngal beli,"['debat', 'rubut', 'gw', 'mah', 'diem', 'aja', 'ngal', 'beli']"
Prajurit lagi baris 🤣🤣,prajurit baris,"['prajurit', 'baris']"
"Dulu g terlalu ngelirik Xiaomi walau murah, soalnya berasa ""merk yg g jelas"" semakin lama bisa bikin berpikir 2 kali, dan akhirnya sekarang lagi PO slaah satu produk Xiaomi. Dan ini kejadian sama infinix, kita liat aja kedepannya",g ngelirik xiaomi murah asa merk yg g bikin pikir kali po slaah produk xiaomi jadi infinix liat aja depan,"['g', 'ngelirik', 'xiaomi', 'murah', 'asa', 'merk', 'yg', 'g', 'bikin', 'pikir', 'kali', 'po', 'slaah', 'produk', 'xiaomi', 'jadi', 'infinix', 'liat', 'aja', 'depan']"
Dapid anak nakal suka ribut,dapid anak nakal suka ribut,"['dapid', 'anak', 'nakal', 'suka', 'ribut']"
Review infinix dong,review infinix,"['review', 'infinix']"
0:40 itu mobil forche bg,mobil forche bg,"['mobil', 'forche', 'bg']"
Awokwok. Infinix vs Xiaomi (entah Redmi)?? Saya nunggu keributan Anda sambil ngemil nih..,awokwok infinix vs xiaomi redmi nunggu ribut ngemil nih,"['awokwok', 'infinix', 'vs', 'xiaomi', 'redmi', 'nunggu', 'ribut', 'ngemil', 'nih']"
Akhirnya direview ❤️,direview,['direview']
Bang riview tecno spark 7 pro🙇,bang riview tecno spark pro,"['bang', 'riview', 'tecno', 'spark', 'pro']"
"Mantap bang, btw yang di cuplikan infinix tadi itu Porsche Cayman bukan Ferrari",mantap bang btw cuplik infinix porsche cayman ferrari,"['mantap', 'bang', 'btw', 'cuplik', 'infinix', 'porsche', 'cayman', 'ferrari']"
Bg review oppo reno 6 5G yg mirip 12 apel separoh,bg review oppo reno g yg apel separoh,"['bg', 'review', 'oppo', 'reno', 'g', 'yg', 'apel', 'separoh']"
"Ini hp yg di tunggu tunggu
Nunggu falsh sale nya buka lagi, harga nya lebih hemat
Kemarin pas flash sale pertama nya nggak kebagian",hp yg tunggu tunggu nunggu falsh sale nya buka harga nya hemat kemarin pas flash sale nya nggak bagi,"['hp', 'yg', 'tunggu', 'tunggu', 'nunggu', 'falsh', 'sale', 'nya', 'buka', 'harga', 'nya', 'hemat', 'kemarin', 'pas', 'flash', 'sale', 'nya', 'nggak', 'bagi']"
"Kalo suaranya kekecilan kayanya fitur volume boosternya belum diaktifkan


Kalo aktif suaranya di level 3 udah kenceng

Kalo mati ya di level 3 memang kecil suaranya",kalo suara kecil kaya fitur volume boosternya aktif kalo aktif suara level udah kenceng kalo mati ya level suara,"['kalo', 'suara', 'kecil', 'kaya', 'fitur', 'volume', 'boosternya', 'aktif', 'kalo', 'aktif', 'suara', 'level', 'udah', 'kenceng', 'kalo', 'mati', 'ya', 'level', 'suara']"
"Mending ga usah kasih kamera, budgetnya sekalian buat up performance 🤣",mending ga kasih kamera budgetnya up performance,"['mending', 'ga', 'kasih', 'kamera', 'budgetnya', 'up', 'performance']"
Mifans ketika review brand lain ❤️,mifans review brand,"['mifans', 'review', 'brand']"
"David aja pecinta sony, tapi endorsean paling kenceng dari xiaomi",david aja cinta sony endorsean kenceng xiaomi,"['david', 'aja', 'cinta', 'sony', 'endorsean', 'kenceng', 'xiaomi']"
Kalo mau kenceng suara DTS nya aktifin bang ada di pengaturan,kalo kenceng suara dts nya aktifin bang atur,"['kalo', 'kenceng', 'suara', 'dts', 'nya', 'aktifin', 'bang', 'atur']"
"Segitu mh udah bagus, di bandingkan dengan infinix keluaran lama ky note 3 ataupun note 4. Udah bisa nyaingin xiomy sih",segitu mh udah bagus banding infinix keluar ky note note udah nyaingin xiomy sih,"['segitu', 'mh', 'udah', 'bagus', 'banding', 'infinix', 'keluar', 'ky', 'note', 'note', 'udah', 'nyaingin', 'xiomy', 'sih']"
"Infinix nyarik Masalah Sama Xiomi, Belum Tau Kekuatan Fansboy Xiaomi",infinix nyarik xiomi tau kuat fansboy xiaomi,"['infinix', 'nyarik', 'xiomi', 'tau', 'kuat', 'fansboy', 'xiaomi']"
"Emang dari dulu infinix speker nya kresek"" gituh",emang infinix speker nya kresek gituh,"['emang', 'infinix', 'speker', 'nya', 'kresek', 'gituh']"
"7.	Punya gw suaranya menggelegar banget sih bang

#XMission",gw suara gelegar banget sih bang xmission,"['gw', 'suara', 'gelegar', 'banget', 'sih', 'bang', 'xmission']"
siapasi yg mau beli infinix 😂,siapasi yg beli infinix,"['siapasi', 'yg', 'beli', 'infinix']"
"10.	Gw suka banget woooy! Puas dah nge-game di Infinix Note 10 Pro. Seneng banget kedapetan pas Flash Sale kemarin.

#XMission",gw suka banget woooy puas dah ngegame infinix note pro neng banget kedapetan pas flash sale kemarin xmission,"['gw', 'suka', 'banget', 'woooy', 'puas', 'dah', 'ngegame', 'infinix', 'note', 'pro', 'neng', 'banget', 'kedapetan', 'pas', 'flash', 'sale', 'kemarin', 'xmission']"
@@binaplingga9254 bacot bocil,binaplingga bacot bocil,"['binaplingga', 'bacot', 'bocil']"
"""Hiburanku adalah keributan """,hibur ribut,"['hibur', 'ribut']"
kak istrinya mirip @sarahviloid kak hehe,kak istri sarahviloid kak hehe,"['kak', 'istri', 'sarahviloid', 'kak', 'hehe']"
Oppo Reno 6 bang.aku tunggu,oppo reno bangaku tunggu,"['oppo', 'reno', 'bangaku', 'tunggu']"
Tetaplah orang yang menilai bakalan menilai dari  jasa service centernya 😂,tetap orang nilai nilai jasa service centernya,"['tetap', 'orang', 'nilai', 'nilai', 'jasa', 'service', 'centernya']"
"Coba bang klo tes game, pake game Pes mobile 2021",coba bang klo tes game pake game pes mobile,"['coba', 'bang', 'klo', 'tes', 'game', 'pake', 'game', 'pes', 'mobile']"
Bagusan mana sama zero 8 bang?,bagus zero bang,"['bagus', 'zero', 'bang']"
"6:21

Canda camera",canda camera,"['canda', 'camera']"
Ferrarri apakah itu benar wkwkkwkwk,ferrarri wkwkkwkwk,"['ferrarri', 'wkwkkwkwk']"
Bg bisa ultra mobile lagends nya,bg ultra mobile lagends nya,"['bg', 'ultra', 'mobile', 'lagends', 'nya']"
"4.	Suka banget main game pake Infinix Note 10 Pro. Game apa aja dihajar. Settingan tinggal disesuaikan. Dan yang paling gw suka gak ngorbanin banget grafisnya. Semua smooth!

#XMission",suka banget main game pake infinix note pro game aja hajar settingan tinggal sesuai gw suka gak ngorbanin banget grafis smooth xmission,"['suka', 'banget', 'main', 'game', 'pake', 'infinix', 'note', 'pro', 'game', 'aja', 'hajar', 'settingan', 'tinggal', 'sesuai', 'gw', 'suka', 'gak', 'ngorbanin', 'banget', 'grafis', 'smooth', 'xmission']"
"😆 ayo infinix, usix xiaomi terus sampe jadi trio xiaomi, realme dan infinix",ayo infinix usix xiaomi sampe trio xiaomi realme infinix,"['ayo', 'infinix', 'usix', 'xiaomi', 'sampe', 'trio', 'xiaomi', 'realme', 'infinix']"
"Ralat bg ,itu Porche",ralat bg porche,"['ralat', 'bg', 'porche']"
Mereka yg ribut gw yg seneng semakin bersaing harga semakin minim,yg ribut gw yg neng saing harga minim,"['yg', 'ribut', 'gw', 'yg', 'neng', 'saing', 'harga', 'minim']"
"Done!! 
David suka liat orang debat🤣",done david suka liat orang debat,"['done', 'david', 'suka', 'liat', 'orang', 'debat']"
Redmi note 9 pro ke infinik note 10 pro worth it gak bang?,redmi note pro infinik note pro worth it gak bang,"['redmi', 'note', 'pro', 'infinik', 'note', 'pro', 'worth', 'it', 'gak', 'bang']"
"UI nya sih kurang kalo menurut gw, tp ya itu subjektif",ui nya sih kalo gw tp ya subjektif,"['ui', 'nya', 'sih', 'kalo', 'gw', 'tp', 'ya', 'subjektif']"
Suka nonton tapi duit gaada🗿😒,suka nonton duit gaada,"['suka', 'nonton', 'duit', 'gaada']"
Xiaomi aja udah males update Software apa lagi brand ini... Dijamin kagak bakal dapet upgrade Android ke versi baru...,xiaomi aja udah males update software brand jamin kagak dapet upgrade android versi,"['xiaomi', 'aja', 'udah', 'males', 'update', 'software', 'brand', 'jamin', 'kagak', 'dapet', 'upgrade', 'android', 'versi']"
Inifinix note 10 pro dah support 5G blom bang,inifinix note pro dah support g blom bang,"['inifinix', 'note', 'pro', 'dah', 'support', 'g', 'blom', 'bang']"
Ga bisa pasang gcam tapi skip,ga pasang gcam skip,"['ga', 'pasang', 'gcam', 'skip']"
Oppo Reno 6 bang,oppo reno bang,"['oppo', 'reno', 'bang']"
"Xiaomi mah santai
Infinix....... (Penjualan & harga jual ulang gk ada yg minat) *SURABAYA*",xiaomi mah santai infinix jual harga jual ulang gk yg minat surabaya,"['xiaomi', 'mah', 'santai', 'infinix', 'jual', 'harga', 'jual', 'ulang', 'gk', 'yg', 'minat', 'surabaya']"
"Tetap xiaomi yg pertama karena dia sudah punya hape flagship bahkan sudah ada hape yg mahal,ketolongnya krn ada mi 11 ultra sedangkan infinix masih murah dan main di entry level,xiaomi juga sudah banyak hape untuk umum dan gaming juga dijual offline dan online,sedangkan infinix lebih banyak difokuskan ke gaming dan speknya bagus belinya kebanyakan di online,dak di offline,yg itu hape infinix yg speknya biasa.😆😁😄",xiaomi yg hape flagship hape yg mahalketolongnya krn mi ultra infinix murah main entry levelxiaomi hape gaming jual offline onlinesedangkan infinix fokus gaming speknya bagus beli banyak onlinedak offlineyg hape infinix yg speknya,"['xiaomi', 'yg', 'hape', 'flagship', 'hape', 'yg', 'mahalketolongnya', 'krn', 'mi', 'ultra', 'infinix', 'murah', 'main', 'entry', 'levelxiaomi', 'hape', 'gaming', 'jual', 'offline', 'onlinesedangkan', 'infinix', 'fokus', 'gaming', 'speknya', 'bagus', 'beli', 'banyak', 'onlinedak', 'offlineyg', 'hape', 'infinix', 'yg', 'speknya']"
Oppo Reno 6 Pro bang,oppo reno pro bang,"['oppo', 'reno', 'pro', 'bang']"
Kalo cuma ngincer chipset poco x3 pro tetep jawaban pertama,kalo ngincer chipset poco x pro tetep,"['kalo', 'ngincer', 'chipset', 'poco', 'x', 'pro', 'tetep']"
"Infinix tuh udh kayak artis2 jaman skrg, buat sensasi biar namanya naik,
In fi nixxx, i love youu so muchhhhh....🎶🎶🎶",infinix tuh udh kayak artis jaman skrg sensasi biar nama in fi nixxx i love youu so muchhhhh,"['infinix', 'tuh', 'udh', 'kayak', 'artis', 'jaman', 'skrg', 'sensasi', 'biar', 'nama', 'in', 'fi', 'nixxx', 'i', 'love', 'youu', 'so', 'muchhhhh']"
"""Saya suka keributan"" 



David 2021",suka ribut david,"['suka', 'ribut', 'david']"
Jadi yang mana nih hp yang harga 2jt an yang recommend😑?,nih hp harga jt an recommend,"['nih', 'hp', 'harga', 'jt', 'an', 'recommend']"
Xiao,xiao,['xiao']
Susah di instal gcam tpi bang,susah instal gcam tpi bang,"['susah', 'instal', 'gcam', 'tpi', 'bang']"
Akhirnya di review,review,['review']
"Dibanding miui saya lebih suka XOS punya infinix.


Lebih simpel tapi ada beberapa fitur unik yang berguna.",banding miui suka xos infinix simpel fitur unik guna,"['banding', 'miui', 'suka', 'xos', 'infinix', 'simpel', 'fitur', 'unik', 'guna']"
Tapi tinggal infinix nya selalu rajin update software dan update keamanan tiap tahun gua mau daripada gak sama sekali,tinggal infinix nya rajin update software update aman gua gak,"['tinggal', 'infinix', 'nya', 'rajin', 'update', 'software', 'update', 'aman', 'gua', 'gak']"
Baru ini liat bang david review hp dari invinix,liat bang david review hp invinix,"['liat', 'bang', 'david', 'review', 'hp', 'invinix']"
kamera nya kaya kamera sejutaan asli 😂 lawan xiaomi? no deh kek nya,kamera nya kaya kamera juta asli lawan xiaomi no deh kek nya,"['kamera', 'nya', 'kaya', 'kamera', 'juta', 'asli', 'lawan', 'xiaomi', 'no', 'deh', 'kek', 'nya']"
"5.	Punya gue cakep sih bang hasilnya asal diotak-atik dikit udah cakep.

#XMission",gue cakep sih bang hasil diotakatik dikit udah cakep xmission,"['gue', 'cakep', 'sih', 'bang', 'hasil', 'diotakatik', 'dikit', 'udah', 'cakep', 'xmission']"
njir hasil dari  kameranya kek hp tahun 2017 an,njir hasil kamera kek hp an,"['njir', 'hasil', 'kamera', 'kek', 'hp', 'an']"
03:00 awokawokawok electro-charged,awokawokawok electrocharged,"['awokawokawok', 'electrocharged']"
mending Xiaomi,mending xiaomi,"['mending', 'xiaomi']"
Apasih mipens,apasih mipens,"['apasih', 'mipens']"
@@raihannn04 apa lu by 1 fanny?,raihannn lu by fanny,"['raihannn', 'lu', 'by', 'fanny']"
@@sevenstarrr fanny lu darat,sevenstarrr fanny lu darat,"['sevenstarrr', 'fanny', 'lu', 'darat']"
"Baru2 ini infinix bangkit keluarin hape dan berani menyaingi xiaomi dan realme,tapi sayangnya beli nya di online.padahal dulu2 infinix dak pernah kedengaran,marigini techno spark dan itel",infinix bangkit keluarin hape berani saing xiaomi realmetapi sayang beli nya onlinepadahal infinix dak kedengaranmarigini techno spark itel,"['infinix', 'bangkit', 'keluarin', 'hape', 'berani', 'saing', 'xiaomi', 'realmetapi', 'sayang', 'beli', 'nya', 'onlinepadahal', 'infinix', 'dak', 'kedengaranmarigini', 'techno', 'spark', 'itel']"
Bawa invinik note 8 gek 4bln dah keluar note 10 🥴,bawa invinik note gek bln dah note,"['bawa', 'invinik', 'note', 'gek', 'bln', 'dah', 'note']"
Njir s3 marketing dah ni dapid tiba tiba ae bahas tokopedia,njir s marketing dah ni dapid ae bahas tokopedia,"['njir', 's', 'marketing', 'dah', 'ni', 'dapid', 'ae', 'bahas', 'tokopedia']"
kamera nya jujur ga bgt :(,kamera nya jujur ga bgt,"['kamera', 'nya', 'jujur', 'ga', 'bgt']"
bang apartement abang itu di central park? (nyari tau aja😄),bang apartement abang central park nyari tau aja,"['bang', 'apartement', 'abang', 'central', 'park', 'nyari', 'tau', 'aja']"
Menurut ramalan hantu mamah loreng.. gara2 game pubg mobile. Brand2 samrtphone berlomba2 naikin spek n murah agar laris dikalangan bocil 😂😂😂😂😂. Dlu2 hrus 3jt bru bisa maen pubg.. skrang 2jtaan udah siap bar2 😀.. menurut mamah loreng,ramal hantu mamah loreng gara game pubg mobile brand samrtphone lomba naikin spek n murah laris kalang bocil dlu hrus jt bru maen pubg skrang jtaan udah bar mamah loreng,"['ramal', 'hantu', 'mamah', 'loreng', 'gara', 'game', 'pubg', 'mobile', 'brand', 'samrtphone', 'lomba', 'naikin', 'spek', 'n', 'murah', 'laris', 'kalang', 'bocil', 'dlu', 'hrus', 'jt', 'bru', 'maen', 'pubg', 'skrang', 'jtaan', 'udah', 'bar', 'mamah', 'loreng']"
Porsche ijo bang david,porsche ijo bang david,"['porsche', 'ijo', 'bang', 'david']"
Udah beli infinix hot 10s malah keluar lagi hp baru(༎ຶ ෴ ༎ຶ),udah beli infinix hot s hp,"['udah', 'beli', 'infinix', 'hot', 's', 'hp']"
"Kata nya si realme 9 akan ada rilis tapi ga tau kapan , nunggu bang gadgetin rivew nah kalo cocok beli",nya si realme rilis ga tau nunggu bang gadgetin rivew kalo cocok beli,"['nya', 'si', 'realme', 'rilis', 'ga', 'tau', 'nunggu', 'bang', 'gadgetin', 'rivew', 'kalo', 'cocok', 'beli']"
P,p,['p']
Pengen ganti hp ya allah😭mudah mudahan yg baca ini ngeaminin aaammmiiinnnn🧡,ken ganti hp ya allahmudah mudah yg baca ngeaminin aaammmiiinnnn,"['ken', 'ganti', 'hp', 'ya', 'allahmudah', 'mudah', 'yg', 'baca', 'ngeaminin', 'aaammmiiinnnn']"
Aaammmiiinnn 🤲🏻,aaammmiiinnn,['aaammmiiinnn']
Aamiin....msh setia terpaksa di redmi 5 🤦‍,aamiinmsh setia paksa redmi,"['aamiinmsh', 'setia', 'paksa', 'redmi']"
@@dasamuka8866 wadoh gua galaxy a10s 2 tahun sedih,dasamuka wadoh gua galaxy as sedih,"['dasamuka', 'wadoh', 'gua', 'galaxy', 'as', 'sedih']"
"Minta doain doang,padahal lu nya gak ada usaha sama sekali",doain doangpadahal lu nya gak usaha,"['doain', 'doangpadahal', 'lu', 'nya', 'gak', 'usaha']"
Bayak bersyukur aja. Jangan ganti2 hp. Pakai hp sesuai kebutuhan aja. Jangan buat gaya apa lagi ganti hp buat pamer. Saya aja samsung j3. Ada uang saya gak mau beli hp lebih baik di kumpulin buat modal usaha,bayak syukur aja ganti hp pakai hp sesuai butuh aja gaya ganti hp pamer aja samsung j uang gak beli hp kumpulin modal usaha,"['bayak', 'syukur', 'aja', 'ganti', 'hp', 'pakai', 'hp', 'sesuai', 'butuh', 'aja', 'gaya', 'ganti', 'hp', 'pamer', 'aja', 'samsung', 'j', 'uang', 'gak', 'beli', 'hp', 'kumpulin', 'modal', 'usaha']"
Amiin,amiin,['amiin']
Amin semoga tercapai kak,amin moga capai kak,"['amin', 'moga', 'capai', 'kak']"
Aamiin,aamiin,['aamiin']
aamiin,aamiin,['aamiin']
Aminn,aminn,['aminn']
Amin,amin,['amin']
Aamiin....Moga ada rejekinya,aamiinmoga rejekinya,"['aamiinmoga', 'rejekinya']"
Aamiin,aamiin,['aamiin']
Amin,amin,['amin']
"Amin bang
Gua tau apa yang lo rasain",amin bang gua tau lo rasain,"['amin', 'bang', 'gua', 'tau', 'lo', 'rasain']"
Aaamiiinnn,aaamiiinnn,['aaamiiinnn']
Amiin,amiin,['amiin']
kerja,kerja,['kerja']
"Sebaik baik nya doa itu, tidak di lihat orang lain supaya doa cepet terkabul",nya doa lihat orang doa cepet kabul,"['nya', 'doa', 'lihat', 'orang', 'doa', 'cepet', 'kabul']"
Aminnn....☺🙏,aminnn,['aminnn']
Udah kebeli blum bang?,udah kebel blum bang,"['udah', 'kebel', 'blum', 'bang']"
"Amiiiinnn
Tapi doain juga ya😅😅",amiiiinnn doain ya,"['amiiiinnn', 'doain', 'ya']"
Kumpulin buat beli POCO X3 NFC NIHH,kumpulin beli poco x nfc nihh,"['kumpulin', 'beli', 'poco', 'x', 'nfc', 'nihh']"
Semoga tercapai kak amin,moga capai kak amin,"['moga', 'capai', 'kak', 'amin']"
Berdoa dan berusaha 🙏,doa usaha,"['doa', 'usaha']"
Semoga,moga,['moga']
Amin,amin,['amin']
Amin,amin,['amin']
Aminnnn..,aminnnn,['aminnnn']
amin..swaha..🙏,aminswaha,['aminswaha']
Amin,amin,['amin']
Amiiin bang,amiiin bang,"['amiiin', 'bang']"
Aminn,aminn,['aminn']
"Aamiin 
Semoga kamu bisa dapat Rezeki dan bisa ganti HP",aamiin moga rezeki ganti hp,"['aamiin', 'moga', 'rezeki', 'ganti', 'hp']"
nyicil di aku laku 😂,nyicil laku,"['nyicil', 'laku']"
Aamiin,aamiin,['aamiin']
Aamiin,aamiin,['aamiin']
"Do'a , kerja, nabung,",doa kerja nabung,"['doa', 'kerja', 'nabung']"
Aamiin,aamiin,['aamiin']
"Amin, mudah mudahan banyak rezekinya y bg",amin mudah mudah rezeki y bg,"['amin', 'mudah', 'mudah', 'rezeki', 'y', 'bg']"
Aamiin🤲❤,aamiin,['aamiin']
aaminn semoga gustiAlloh mengabulkan keinginan anda,aaminn moga gustialloh kabul,"['aaminn', 'moga', 'gustialloh', 'kabul']"
"Aminn, btw dah beli blm ngab?",aminn btw dah beli blm ngab,"['aminn', 'btw', 'dah', 'beli', 'blm', 'ngab']"
@@dasamuka8866 masih di redmi note 5 pro 🗿,dasamuka redmi note pro,"['dasamuka', 'redmi', 'note', 'pro']"
Aamiin,aamiin,['aamiin']
"Sama bg 
Gue juga pengen Hp baru 🥺",bg gue ken hp,"['bg', 'gue', 'ken', 'hp']"
Amiinnn,amiinnn,['amiinnn']
amiiin.,amiiin,['amiiin']
Aminnn,aminnn,['aminnn']
Amin,amin,['amin']
Amiiiiinnn...,amiiiiinnn,['amiiiiinnn']
Aamiin,aamiin,['aamiin']
Udah ganti belom??,udah ganti bom,"['udah', 'ganti', 'bom']"
@@masJhon77 blom bang ini jg udah bbrpa kali di flash ...biasa anak SMK GK bisa bebas beli HP,masjhon blom bang jg udah bbrpa kali flash anak smk gk bebas beli hp,"['masjhon', 'blom', 'bang', 'jg', 'udah', 'bbrpa', 'kali', 'flash', 'anak', 'smk', 'gk', 'bebas', 'beli', 'hp']"
Boooodo amat,boooodo,['boooodo']
Amiiiinnnn semoga gw juga y bang ganti hp doain gw juga y amiiiinnnn y allah,amiiiinnnn moga gw y bang ganti hp doain gw y amiiiinnnn y allah,"['amiiiinnnn', 'moga', 'gw', 'y', 'bang', 'ganti', 'hp', 'doain', 'gw', 'y', 'amiiiinnnn', 'y', 'allah']"
amin,amin,['amin']
Aamiin btw udah ganti hp blum,aamiin btw udah ganti hp blum,"['aamiin', 'btw', 'udah', 'ganti', 'hp', 'blum']"
Aamiiin....,aamiiin,['aamiiin']
Aamiin,aamiin,['aamiin']
Aaaminn sdh kebeli blom bg,aaaminn sdh kebel blom bg,"['aaaminn', 'sdh', 'kebel', 'blom', 'bg']"
aku sbagai player ML masih nabung buat beli hp,sbagai player ml nabung beli hp,"['sbagai', 'player', 'ml', 'nabung', 'beli', 'hp']"
"Amin ya Allah....,,😭😭😭😭",amin ya allah,"['amin', 'ya', 'allah']"
Amiinn,amiinn,['amiinn']
Udah beli bro 😀,udah beli bro,"['udah', 'beli', 'bro']"
Aamiin,aamiin,['aamiin']
"Amin, aku ya mau ganti hp",amin ya ganti hp,"['amin', 'ya', 'ganti', 'hp']"
Amin,amin,['amin']
Aminn kaka,aminn kaka,"['aminn', 'kaka']"
Aamiin ya Allah 🤲🏻,aamiin ya allah,"['aamiin', 'ya', 'allah']"
Aamiin saya nonton ini pake hp yang di review,aamiin nonton pake hp review,"['aamiin', 'nonton', 'pake', 'hp', 'review']"
Amin ya allah,amin ya allah,"['amin', 'ya', 'allah']"
Amin,amin,['amin']
"Pengen juga, semoga dapet kebeli",ken moga dapet kebel,"['ken', 'moga', 'dapet', 'kebel']"
Aminn yu patungan nanti makemya sehari sehari gantian😁😁,aminn yu patungan makemya hari hari ganti,"['aminn', 'yu', 'patungan', 'makemya', 'hari', 'hari', 'ganti']"
Amin 🙏 🙏 🙏,amin,['amin']
Aamiin,aamiin,['aamiin']
"Saya heran kok baru dikit ya yang review ini hape. Padahal keren speknyaa, ga kalah sama xiaomi",heran dikit ya review hape keren speknyaa ga kalah xiaomi,"['heran', 'dikit', 'ya', 'review', 'hape', 'keren', 'speknyaa', 'ga', 'kalah', 'xiaomi']"
infinix Men GG,infinix men gg,"['infinix', 'men', 'gg']"
"Walau tangan gw gede tpi ttp aja gw ""kurang"" srek sama layar layar hp infinix yg terlalu over ""menurut gw"" gw lebih senang layar hp di kisaran 6,5"" ke bawah

Iya itu sih balik lagi ke selera masing"" ya",tangan gw gede tpi ttp aja gw srek layar layar hp infinix yg over gw gw senang layar hp kisar iya sih selera ya,"['tangan', 'gw', 'gede', 'tpi', 'ttp', 'aja', 'gw', 'srek', 'layar', 'layar', 'hp', 'infinix', 'yg', 'over', 'gw', 'gw', 'senang', 'layar', 'hp', 'kisar', 'iya', 'sih', 'selera', 'ya']"
semoga bulan agustus bisa kebeli infinix note 10 pro nfc and kalian yng msih kek gw semoga cpet kebeli,moga agustus kebel infinix note pro nfc and yng msih kek gw moga cpet kebel,"['moga', 'agustus', 'kebel', 'infinix', 'note', 'pro', 'nfc', 'and', 'yng', 'msih', 'kek', 'gw', 'moga', 'cpet', 'kebel']"
pasar makin sengit bertarung antar brand (dalam konsep positif) konsumen yang untung banyak pilihan,pasar sengit tarung brand konsep positif konsumen untung pilih,"['pasar', 'sengit', 'tarung', 'brand', 'konsep', 'positif', 'konsumen', 'untung', 'pilih']"
Padahal saya suka keributan loh 😆,suka ribut loh,"['suka', 'ribut', 'loh']"
6:20 canda kamera 🤣,canda kamera,"['canda', 'kamera']"
"Reno 6 pro bang ,",reno pro bang,"['reno', 'pro', 'bang']"
Habis ini gua yakin pasti infinix ngeluarin hp 5G yang harganya dibawah poco M3 pro,habis gua infinix ngeluarin hp g harga bawah poco m pro,"['habis', 'gua', 'infinix', 'ngeluarin', 'hp', 'g', 'harga', 'bawah', 'poco', 'm', 'pro']"
Kirain gk ngerivew infinix note10pro bang,kirain gk ngerivew infinix notepro bang,"['kirain', 'gk', 'ngerivew', 'infinix', 'notepro', 'bang']"
Promosi tokopedia paling halus 👍🏿..,promosi tokopedia halus,"['promosi', 'tokopedia', 'halus']"
Ya bner speaker doang. Gue user infinix😂,ya bner speaker doang gue user infinix,"['ya', 'bner', 'speaker', 'doang', 'gue', 'user', 'infinix']"
panas nih mudah2an xiaomi bulan depan keluarin hp snap 888 harga 3 jutaan wkwkwkw,panas nih mudah xiaomi keluarin hp snap harga juta wkwkwkw,"['panas', 'nih', 'mudah', 'xiaomi', 'keluarin', 'hp', 'snap', 'harga', 'juta', 'wkwkwkw']"
Selanjutnya bahas laptop nya bangg :),bahas laptop nya bangg,"['bahas', 'laptop', 'nya', 'bangg']"
Alhamdulillah semalam sdh beli Redmi 9T,alhamdulillah malam sdh beli redmi t,"['alhamdulillah', 'malam', 'sdh', 'beli', 'redmi', 't']"
"0105s ,, 3",s,['s']
Hp infinik di daerah saya sinyal nya jelek,hp infinik daerah sinyal nya jelek,"['hp', 'infinik', 'daerah', 'sinyal', 'nya', 'jelek']"
"Infinix Hot 9 Play Apa Xiomi Redmi 9c? 
Pls sarannya dong",infinix hot play xiomi redmi c pls saran,"['infinix', 'hot', 'play', 'xiomi', 'redmi', 'c', 'pls', 'saran']"
Bisa bae toa masjid bridging ke tokopedianya 😂😂,bae toa masjid bridging tokopedianya,"['bae', 'toa', 'masjid', 'bridging', 'tokopedianya']"
"Buat main AOV gimana bang bisa full hd hugh frame rate, soalnya susah nyari hp yang suport arena of valor",main aov gimana bang full hd hugh frame rate susah nyari hp suport arena of valor,"['main', 'aov', 'gimana', 'bang', 'full', 'hd', 'hugh', 'frame', 'rate', 'susah', 'nyari', 'hp', 'suport', 'arena', 'of', 'valor']"
Dah lah gw jual aja c15 gw 🗿,dah gw jual aja c gw,"['dah', 'gw', 'jual', 'aja', 'c', 'gw']"
Saya suka keributan siih ..,suka ribut siih,"['suka', 'ribut', 'siih']"
04:10 infinix memang kurang bagus di bagian speaker,infinix bagus speaker,"['infinix', 'bagus', 'speaker']"
Cuma disini poco f3 dicap murah:),poco f cap murah,"['poco', 'f', 'cap', 'murah']"
AHHH MENDINGAN POCO X3 PRO KLO BUAT GAMING MAH,ahhh mending poco x pro klo gaming mah,"['ahhh', 'mending', 'poco', 'x', 'pro', 'klo', 'gaming', 'mah']"
Akhirnya review Infinix,review infinix,"['review', 'infinix']"
"Bang kalau Poco M3 bagus gk main ML,,DAN Bisa ultra gk grfic nya?????",bang poco m bagus gk main mldan ultra gk grfic nya,"['bang', 'poco', 'm', 'bagus', 'gk', 'main', 'mldan', 'ultra', 'gk', 'grfic', 'nya']"
Wuih judulnya memprovokasi ini.. 🔥😀,wuih judul provokasi,"['wuih', 'judul', 'provokasi']"
#POKOKNYAPOCO masih xioami kann.,pokoknyapoco xioami kann,"['pokoknyapoco', 'xioami', 'kann']"
Nah gini donk saling ribut spek dan harga kan kita konsumen bisa bahagia liatnya,gin donk ribut spek harga konsumen bahagia liat,"['gin', 'donk', 'ribut', 'spek', 'harga', 'konsumen', 'bahagia', 'liat']"
1.09 saya sukak nya keributan sih:v,sukak nya ribut sihv,"['sukak', 'nya', 'ribut', 'sihv']"
Req poco M3 5g,req poco m g,"['req', 'poco', 'm', 'g']"
Nunggu resmi,nunggu resmi,"['nunggu', 'resmi']"
Infinix hot 10 liat Aja:(,infinix hot liat aja,"['infinix', 'hot', 'liat', 'aja']"
