Comment,processed_text,tokens,sentiment_label,sentiment_score
"3.	Kekurangannya emang bagi orang yang tangan kecil atau biasa megang hape compact jadi kurang nyaman. Tapi semua bakal bisa karena terbiasa. Itu sih. Dan Infinix punya market-nya sendiri. Mereka ga akan tetap survive sampe sekarang dengan ponsel layar-layar besarnya kalo ga ada user yang demand. Cuma ya, gue setuju sih kalo udah waktunya Infinix ngeluarin hape compact juga biar bisa mencakup user lebih luas

#XMission",kurang emang orang tangan megang hape compact nyaman biasa sih infinix marketnya ga survive sampe ponsel layarlayar besar kalo ga user demand ya gue tuju sih kalo udah infinix ngeluarin hape compact biar cakup user luas xmission,"['kurang', 'emang', 'orang', 'tangan', 'megang', 'hape', 'compact', 'nyaman', 'biasa', 'sih', 'infinix', 'marketnya', 'ga', 'survive', 'sampe', 'ponsel', 'layarlayar', 'besar', 'kalo', 'ga', 'user', 'demand', 'ya', 'gue', 'tuju', 'sih', 'kalo', 'udah', 'infinix', 'ngeluarin', 'hape', 'compact', 'biar', 'cakup', 'user', 'luas', 'xmission']",positive,6
Infinix note 8 hadir✌️,infinix note hadir,"['infinix', 'note', 'hadir']",positive,-1
Gimna performanya smpe skrg bro?,gimna performa smpe skrg bro,"['gimna', 'performa', 'smpe', 'skrg', 'bro']",neutral,0
"Siapa Yg nonton Ini Pake Infinix Note 10 pro hahahaha ,,gw baru beli kemarin...mantul HP nya enakeun..smooth banget Ngebut HP nya ..tp jujur Kamera nya Biasa aja",yg nonton pake infinix note pro hahahaha gw beli kemarinmantul hp nya enakeunsmooth banget ngebut hp nya tp jujur kamera nya aja,"['yg', 'nonton', 'pake', 'infinix', 'note', 'pro', 'hahahaha', 'gw', 'beli', 'kemarinmantul', 'hp', 'nya', 'enakeunsmooth', 'banget', 'ngebut', 'hp', 'nya', 'tp', 'jujur', 'kamera', 'nya', 'aja']",positive,4
"5.	Punya gue cakep sih bang hasilnya asal diotak-atik dikit udah cakep.

#XMission",gue cakep sih bang hasil diotakatik dikit udah cakep xmission,"['gue', 'cakep', 'sih', 'bang', 'hasil', 'diotakatik', 'dikit', 'udah', 'cakep', 'xmission']",positive,7
Apakah infinix bakal dapet update software selayaknya xiaomi?,infinix dapet update software layak xiaomi,"['infinix', 'dapet', 'update', 'software', 'layak', 'xiaomi']",positive,0
Moon map gue penikmat yang besar-besar. Gak suka yang kecil :3,moon map gue nikmat besarbesar gak suka,"['moon', 'map', 'gue', 'nikmat', 'besarbesar', 'gak', 'suka']",positive,5
Infinix Note 10 series pasti cocok nih buat agan #XMission,infinix note series cocok nih agan xmission,"['infinix', 'note', 'series', 'cocok', 'nih', 'agan', 'xmission']",positive,1
"Klau AQ lebih suka yg layar gede karena lebih puas buat nonton..dan AQ lebih suka yg gede"" dari pada yg kecil"" 🤣🤣
#XMission",klau aq suka yg layar gede puas nontondan aq suka yg gede yg xmission,"['klau', 'aq', 'suka', 'yg', 'layar', 'gede', 'puas', 'nontondan', 'aq', 'suka', 'yg', 'gede', 'yg', 'xmission']",positive,7
Mksdnya apa y yg gede sama yg kecil wkwk,mksdnya y yg gede yg wkwk,"['mksdnya', 'y', 'yg', 'gede', 'yg', 'wkwk']",positive,0
@@yusupkomarsyah3456 layarnya lah hahaha 🤣,yusupkomarsyah layar hahaha,"['yusupkomarsyah', 'layar', 'hahaha']",neutral,0
coba design packaging nya di bikin lebih menarik lagi :),coba design packaging nya bikin tarik,"['coba', 'design', 'packaging', 'nya', 'bikin', 'tarik']",positive,3
percuma design bagus kalo isinya kentang,design bagus kalo isi kentang,"['design', 'bagus', 'kalo', 'isi', 'kentang']",positive,-5
Menurut aku sih hasil kamera ultra night Infinix bagus banget. Gak berlebihan tapi gak kurang juga. Ya mungkin bang bro keseringan review hp flagship yang harganya lebih mahal makanya ketika dapat hp yang lebih murah ya gitu deh. Ada harga ada kualitas ya. Dan Infinix punya segmen pasarnya tersendiri. Aku sih lebih ke Infinix smartphone daripada brand lain. Infinix Note 10 Pro bisa bersaing di kelasnya. Itu mantap banget. #XMission,sih hasil kamera ultra night infinix bagus banget gak gak ya bang bro sering review hp flagship harga mahal hp murah ya gitu deh harga kualitas ya infinix segmen pasar sendiri sih infinix smartphone brand infinix note pro saing kelas mantap banget xmission,"['sih', 'hasil', 'kamera', 'ultra', 'night', 'infinix', 'bagus', 'banget', 'gak', 'gak', 'ya', 'bang', 'bro', 'sering', 'review', 'hp', 'flagship', 'harga', 'mahal', 'hp', 'murah', 'ya', 'gitu', 'deh', 'harga', 'kualitas', 'ya', 'infinix', 'segmen', 'pasar', 'sendiri', 'sih', 'infinix', 'smartphone', 'brand', 'infinix', 'note', 'pro', 'saing', 'kelas', 'mantap', 'banget', 'xmission']",positive,30
"3:46 yang tangannya kecil Infinix Note 10 Pro jelas bukan pilihan bagus. 
Kekurangannya emang bagi yg bertangan kecil atau biasa megang hp compact pasti kurang nyaman lah ya. Tapi semua bakal bisa karena terbiasa. Infinix punya marketnya sendiri. Mereka ga akan survive sampe sekarang dengan ponsel layar besarnya jika ga ada user yg demand. Cuma, aku setuju banget bila sekarang saatnya Infinix ngeluarin hp compact juga biar bisa mencakup user lebih luas #XMission",tangan infinix note pro pilih bagus kurang emang yg tangan megang hp compact nyaman ya biasa infinix marketnya ga survive sampe ponsel layar besar ga user yg demand tuju banget infinix ngeluarin hp compact biar cakup user luas xmission,"['tangan', 'infinix', 'note', 'pro', 'pilih', 'bagus', 'kurang', 'emang', 'yg', 'tangan', 'megang', 'hp', 'compact', 'nyaman', 'ya', 'biasa', 'infinix', 'marketnya', 'ga', 'survive', 'sampe', 'ponsel', 'layar', 'besar', 'ga', 'user', 'yg', 'demand', 'tuju', 'banget', 'infinix', 'ngeluarin', 'hp', 'compact', 'biar', 'cakup', 'user', 'luas', 'xmission']",positive,4
Y,y,['y'],neutral,0
Gua lebih suka kalo lagi ngebahas soal kameranya😆 seru aja gitu.lebih suka jujur🤭,gua suka kalo ngebahas kamera seru aja gitulebih suka jujur,"['gua', 'suka', 'kalo', 'ngebahas', 'kamera', 'seru', 'aja', 'gitulebih', 'suka', 'jujur']",positive,5
"3.	Memang masih perlu upgrade lagi untuk kamera. Tapi menurut gue udah cukup bagus dan bisa bersaing di kelasnya.

#XMission",upgrade kamera gue udah bagus saing kelas xmission,"['upgrade', 'kamera', 'gue', 'udah', 'bagus', 'saing', 'kelas', 'xmission']",negative,-5
Mantep sih G95 GG banget di kelasnya. Gak ada masalah overheating juga. Bravo Infinix! ❤️❤️❤️,mantep sih g gg banget kelas gak overheating bravo infinix,"['mantep', 'sih', 'g', 'gg', 'banget', 'kelas', 'gak', 'overheating', 'bravo', 'infinix']",negative,-2
"@@fabianski0370 pemakaian lama gimana bang, tertarik juga nih",fabianski pakai gimana bang tarik nih,"['fabianski', 'pakai', 'gimana', 'bang', 'tarik', 'nih']",positive,2
@@ronnyrn_ sama,ronnyrn,['ronnyrn'],neutral,0
Yoi ngab butuh buat pubg ama foto2,yoi ngab butuh pubg ama foto,"['yoi', 'ngab', 'butuh', 'pubg', 'ama', 'foto']",negative,-2
"@@fabianski0370 G85 aja main pes smooth bro, apa lagi yang G95",fabianski g aja main pes smooth bro g,"['fabianski', 'g', 'aja', 'main', 'pes', 'smooth', 'bro', 'g']",positive,1
Enak Snapdragon lah wkwk,enak snapdragon wkwk,"['enak', 'snapdragon', 'wkwk']",positive,1
@@ronnyrn_ bagus kok mediatek cuman cari yang cortex a78 kalau mau long term,ronnyrn bagus mediatek cuman cari cortex a long term,"['ronnyrn', 'bagus', 'mediatek', 'cuman', 'cari', 'cortex', 'a', 'long', 'term']",negative,-5
Kenapa epep ga pernah jadi contoh wkwkkw,epep ga contoh wkwkkw,"['epep', 'ga', 'contoh', 'wkwkkw']",neutral,0
Kan gamenya ringan wkwkwkwk,gamenya ringan wkwkwkwk,"['gamenya', 'ringan', 'wkwkwkwk']",positive,1
rekomendasi hp kamera terbaik dong kisaran 2-3jt,rekomendasi hp kamera baik kisar jt,"['rekomendasi', 'hp', 'kamera', 'baik', 'kisar', 'jt']",positive,2
samsung a22 lte . hp dgn kamera terbaik d klas 2-3jt,samsung a lte hp dgn kamera baik d klas jt,"['samsung', 'a', 'lte', 'hp', 'dgn', 'kamera', 'baik', 'd', 'klas', 'jt']",positive,2
Setia sama brand xiaomi🤣,setia brand xiaomi,"['setia', 'brand', 'xiaomi']",negative,-4
Ntar jg pindah k infinix #XMission,ntar jg pindah k infinix xmission,"['ntar', 'jg', 'pindah', 'k', 'infinix', 'xmission']",positive,-2
"Yang bilang Speakernya cempreng, atur dulu suara settingan DTS nya cuy #XMission",bilang speakernya cempreng atur suara settingan dts nya cuy xmission,"['bilang', 'speakernya', 'cempreng', 'atur', 'suara', 'settingan', 'dts', 'nya', 'cuy', 'xmission']",positive,1
"1.      Untuk sekelas harganya, kualitas dual speakernya termasuk mantep sih buat gue

2.      Coba buka DTS trus pilih sesuain mau nonton film, denger music atau apa. Abis itu pilih mau tambah bass-nya, vocal, atau treble. Gak kurang makan kok.

#XMission",kelas harga kualitas dual speakernya mantep sih gue coba buka dts trus pilih sesuain nonton film denger music abis pilih bassnya vocal treble gak makan xmission,"['kelas', 'harga', 'kualitas', 'dual', 'speakernya', 'mantep', 'sih', 'gue', 'coba', 'buka', 'dts', 'trus', 'pilih', 'sesuain', 'nonton', 'film', 'denger', 'music', 'abis', 'pilih', 'bassnya', 'vocal', 'treble', 'gak', 'makan', 'xmission']",positive,-2
Bener bang.. gue udah nyobain pake infinix note 8,bener bang gue udah nyobain pake infinix note,"['bener', 'bang', 'gue', 'udah', 'nyobain', 'pake', 'infinix', 'note']",positive,2
"Kekurangannya cuma gaada gorilla glass di layar. Itu aja sih menurutku, sisanya bagus semua",kurang gaada gorilla glass layar aja sih turut sisa bagus,"['kurang', 'gaada', 'gorilla', 'glass', 'layar', 'aja', 'sih', 'turut', 'sisa', 'bagus']",negative,-14
@@rakharaditya5815 kalau infinix note 8 ada bro,rakharaditya infinix note bro,"['rakharaditya', 'infinix', 'note', 'bro']",neutral,0
"@@sahidulamri1139 tapi sekarang mahal bet. 2,3jt cuma dpt 6/64",sahidulamri mahal bet jt dpt,"['sahidulamri', 'mahal', 'bet', 'jt', 'dpt']",positive,1
@@sahidulamri1139 harusnya harganya sama kek infinix note 10 yg pake g85,sahidulamri harga kek infinix note yg pake g,"['sahidulamri', 'harga', 'kek', 'infinix', 'note', 'yg', 'pake', 'g']",positive,3
"@@rakharaditya5815 enggk mahal bro gua aja beli yg 6/128 2,5 juta",rakharaditya enggk mahal bro gua aja beli yg juta,"['rakharaditya', 'enggk', 'mahal', 'bro', 'gua', 'aja', 'beli', 'yg', 'juta']",positive,0
@@sahidulamri1139 gue pilih infinix note 10 ajalah yg murah. Karna gw saat ini lagi benar2 kismin,sahidulamri gue pilih infinix note aja yg murah karna gw kismin,"['sahidulamri', 'gue', 'pilih', 'infinix', 'note', 'aja', 'yg', 'murah', 'karna', 'gw', 'kismin']",positive,0
Klu menurut ku speker infinix note10 pro itu sangat bagus bisa di sesuaikan selera kita sendiri saya ngomong karna saya make dan sudah 1bln make bahkan klu di setel bas kayak suara speker portabel klu music DJ atau remix mantab banget,klu ku speker infinix note pro bagus sesuai selera ngomong karna make bln make klu setel bas kayak suara speker portabel klu music dj remix mantab banget,"['klu', 'ku', 'speker', 'infinix', 'note', 'pro', 'bagus', 'sesuai', 'selera', 'ngomong', 'karna', 'make', 'bln', 'make', 'klu', 'setel', 'bas', 'kayak', 'suara', 'speker', 'portabel', 'klu', 'music', 'dj', 'remix', 'mantab', 'banget']",positive,4
"Besok Xiaomi : 
-Snapdragon 888
-NFC
-6000mAH
-150wat
-200MegaPixel
-6 Kamera
- Kamera Depan 64Megapixel
-Full HD +
-Super Amoled 
-6,95 inch
-Gorilla Glass 6×
-Zoom 250X
-Super Colling
-Resolusi 10K
-Harga Cuma 3,5Jt🗿",besok xiaomi snapdragon nfc mah wat megapixel kamera kamera megapixel full hd super amoled inch gorilla glass zoom x super colling resolusi k harga jt,"['besok', 'xiaomi', 'snapdragon', 'nfc', 'mah', 'wat', 'megapixel', 'kamera', 'kamera', 'megapixel', 'full', 'hd', 'super', 'amoled', 'inch', 'gorilla', 'glass', 'zoom', 'x', 'super', 'colling', 'resolusi', 'k', 'harga', 'jt']",positive,8
harganya 350k auto laris,harga k auto laris,"['harga', 'k', 'auto', 'laris']",positive,3
1:09 anjay kayak emak emak tetangga,anjay kayak emak emak tetangga,"['anjay', 'kayak', 'emak', 'emak', 'tetangga']",negative,-6
saling bunuh 😮😅,bunuh,['bunuh'],negative,-5
Iya bener bgt speker nya ga joss,iya bener bgt speker nya ga joss,"['iya', 'bener', 'bgt', 'speker', 'nya', 'ga', 'joss']",positive,2
"1.	Atur dulu settingan DTS-nya cuy

#XMission",atur settingan dtsnya cuy xmission,"['atur', 'settingan', 'dtsnya', 'cuy', 'xmission']",positive,0
"Kalo masalah speaker buka aplikasi dts aja bang, tinggal diatur(:",kalo speaker buka aplikasi dts aja bang tinggal atur,"['kalo', 'speaker', 'buka', 'aplikasi', 'dts', 'aja', 'bang', 'tinggal', 'atur']",positive,-5
Bantu up,bantu up,"['bantu', 'up']",positive,-1
"1.Atur dulu settingan DTS-nya cuy
2.Coba buka DTS trus pilih sesuain mau nonton film, denger music atau apa. Abis itu pilih mau tambah bass-nya, vocal, atau treble. Gak kurang makan kok.

#XMission",atur settingan dtsnya cuy coba buka dts trus pilih sesuain nonton film denger music abis pilih bassnya vocal treble gak makan xmission,"['atur', 'settingan', 'dtsnya', 'cuy', 'coba', 'buka', 'dts', 'trus', 'pilih', 'sesuain', 'nonton', 'film', 'denger', 'music', 'abis', 'pilih', 'bassnya', 'vocal', 'treble', 'gak', 'makan', 'xmission']",positive,-6
Bentar bentar itu porche kan?,bentar bentar porche,"['bentar', 'bentar', 'porche']",neutral,0
Mantap riview nya teliti dan pelan godd Chanel ini,mantap riview nya teliti pelan godd chanel,"['mantap', 'riview', 'nya', 'teliti', 'pelan', 'godd', 'chanel']",positive,5
David bylek : Saya suka keribuat🗿,david bylek suka keribuat,"['david', 'bylek', 'suka', 'keribuat']",positive,2
Berapa harga Pocco X3 Nfc skrng ?,harga pocco x nfc skrng,"['harga', 'pocco', 'x', 'nfc', 'skrng']",positive,3
3.299 klo gk salah,klo gk salah,"['klo', 'gk', 'salah']",negative,-4
Hampir sama dengan xiaomi rednot 10s,xiaomi rednot s,"['xiaomi', 'rednot', 's']",neutral,0
Yang ngeup advan mana nich,ngeup advan nich,"['ngeup', 'advan', 'nich']",neutral,0
"Ah bengek banget gue,,, speakernya kek gitu...",ah bengek banget gue speakernya kek gitu,"['ah', 'bengek', 'banget', 'gue', 'speakernya', 'kek', 'gitu']",positive,1
Gua yang barusan kemarin2 beli infinix hot 10 be like : 😑,gua barusan kemarin beli infinix hot be like,"['gua', 'barusan', 'kemarin', 'beli', 'infinix', 'hot', 'be', 'like']",negative,-8
Yg rekomen hp buat main game enteng/berat yg harga nya di Rp 5/6 kebawah apa bang??,yg rekomen hp main game entengberat yg harga nya rp bawah bang,"['yg', 'rekomen', 'hp', 'main', 'game', 'entengberat', 'yg', 'harga', 'nya', 'rp', 'bawah', 'bang']",positive,5
poco f2 pro lah,poco f pro,"['poco', 'f', 'pro']",neutral,0
"Gue dulu dilema mau ambek infinix atau redmi, dan akhir nya redmi 9 jadi pemenang redmi keras boss",gue dilema ambek infinix redmi nya redmi menang redmi keras boss,"['gue', 'dilema', 'ambek', 'infinix', 'redmi', 'nya', 'redmi', 'menang', 'redmi', 'keras', 'boss']",positive,-4
koh ga coba flashlight yang ada di selfie camera nya,koh ga coba flashlight selfie camera nya,"['koh', 'ga', 'coba', 'flashlight', 'selfie', 'camera', 'nya']",positive,3
Review infinix CONCEPT PHONE 2021 bang 🤗🤗🤗,review infinix concept phone bang,"['review', 'infinix', 'concept', 'phone', 'bang']",neutral,0
"Hahahah, gaka bakalan la bisa ngalahin xiaomi realme",hahahah gaka la ngalahin xiaomi realme,"['hahahah', 'gaka', 'la', 'ngalahin', 'xiaomi', 'realme']",neutral,0
"Bukan ngalahin, nyaingin",ngalahin nyaingin,"['ngalahin', 'nyaingin']",neutral,0
Dulu juga pas xiaomi blm serame skrng banyak yg bilang mana bisa ngalahin/nyaingin brand lain,pas xiaomi blm serame skrng yg bilang ngalahinnyaingin brand,"['pas', 'xiaomi', 'blm', 'serame', 'skrng', 'yg', 'bilang', 'ngalahinnyaingin', 'brand']",positive,3
Pantesan bapaku tergila gila dengan infinix😳,pantesan bapa gila gila infinix,"['pantesan', 'bapa', 'gila', 'gila', 'infinix']",positive,-3
"1.	Buat gamingnya GG sih asli

#XMission",gamingnya gg sih asli xmission,"['gamingnya', 'gg', 'sih', 'asli', 'xmission']",positive,2
"Saya hot 9 play yg 6.82"" aja agak susah padahal tangan saya agak besar, eh ini 6.95"" 🤣🤣",hot play yg aja susah tangan eh,"['hot', 'play', 'yg', 'aja', 'susah', 'tangan', 'eh']",negative,-5
"3.	Kekurangannya emang bagi orang yang tangan kecil atau biasa megang hape compact jadi kurang nyaman. Tapi semua bakal bisa karena terbiasa. Itu sih. Dan Infinix punya market-nya sendiri. Mereka ga akan tetap survive sampe sekarang dengan ponsel layar-layar besarnya kalo ga ada user yang demand. Cuma ya, gue setuju sih kalo udah waktunya Infinix ngeluarin hape compact juga biar bisa mencakup user lebih luas.

#XMission",kurang emang orang tangan megang hape compact nyaman biasa sih infinix marketnya ga survive sampe ponsel layarlayar besar kalo ga user demand ya gue tuju sih kalo udah infinix ngeluarin hape compact biar cakup user luas xmission,"['kurang', 'emang', 'orang', 'tangan', 'megang', 'hape', 'compact', 'nyaman', 'biasa', 'sih', 'infinix', 'marketnya', 'ga', 'survive', 'sampe', 'ponsel', 'layarlayar', 'besar', 'kalo', 'ga', 'user', 'demand', 'ya', 'gue', 'tuju', 'sih', 'kalo', 'udah', 'infinix', 'ngeluarin', 'hape', 'compact', 'biar', 'cakup', 'user', 'luas', 'xmission']",positive,6
1:24 s3 marketing 😁,s marketing,"['s', 'marketing']",neutral,0
ya wwkwk,ya wwkwk,"['ya', 'wwkwk']",positive,4
Wkwk,wkwk,['wkwk'],neutral,0
S1 DKV,s dkv,"['s', 'dkv']",neutral,0
03:06 Poco be like:,poco be like,"['poco', 'be', 'like']",neutral,0
Infinix mulai naik daun.. mau jadi ulet kali yaaa 😁,infinix daun ulet kali yaaa,"['infinix', 'daun', 'ulet', 'kali', 'yaaa']",neutral,0
"Haha iya karena yang pucuk lebih segar 🤩
#XMission",haha iya pucuk segar xmission,"['haha', 'iya', 'pucuk', 'segar', 'xmission']",positive,4
"Next, Mi 11 Ultra.. #Please_Review 🙏🏻",next mi ultra please review,"['next', 'mi', 'ultra', 'please', 'review']",negative,-5
"Hahahha infinix makin songong,. Sebagus apapun tetep gk minat 🤣 udh tau jeroanya ngab🤭",hahahha infinix songong bagus apa tetep gk minat udh tau jeroanya ngab,"['hahahha', 'infinix', 'songong', 'bagus', 'apa', 'tetep', 'gk', 'minat', 'udh', 'tau', 'jeroanya', 'ngab']",negative,-5
Mediatek helio G95 sudah menjadi prosessor terbaik untuk main game. Maka dari itu Infinix Note 10 Pro membekali dengan chipset tersebut. Bang david aja menyetujui hal tersebut. Tonton balik reviewnya bang. #XMission,mediatek hio g prosessor baik main game infinix note pro bekal chipset bang david aja tuju tonton reviewnya bang xmission,"['mediatek', 'hio', 'g', 'prosessor', 'baik', 'main', 'game', 'infinix', 'note', 'pro', 'bekal', 'chipset', 'bang', 'david', 'aja', 'tuju', 'tonton', 'reviewnya', 'bang', 'xmission']",positive,3
"2:55 - ya iyalah Dave, game2 besutan mihoyo such as honkai and genshin memang PC-Based Game, berat and rakus memory plus frame rate 
😂😭😂",ya iya dave game besut mihoyo such as honkai and genshin pcbased game berat and rakus memory plus frame rate,"['ya', 'iya', 'dave', 'game', 'besut', 'mihoyo', 'such', 'as', 'honkai', 'and', 'genshin', 'pcbased', 'game', 'berat', 'and', 'rakus', 'memory', 'plus', 'frame', 'rate']",positive,10
"iya,minim 8 gb ram belom cukup buat main game sekelas genshin,cpu kudu kenceng,sekelas laptop/desktop aja minimal 4ghz cpunya,hp2 sekarang rata2 masih 2ghz lebih kecuali yg flagship mungkin ada yg sampe 3ghz lebih",iyaminim gb ram bom main game kelas genshincpu kudu kencengsekelas laptopdesktop aja minimal ghz cpunyahp ghz kecuali yg flagship yg sampe ghz,"['iyaminim', 'gb', 'ram', 'bom', 'main', 'game', 'kelas', 'genshincpu', 'kudu', 'kencengsekelas', 'laptopdesktop', 'aja', 'minimal', 'ghz', 'cpunyahp', 'ghz', 'kecuali', 'yg', 'flagship', 'yg', 'sampe', 'ghz']",neutral,-3
@@muzbargaming5012 8? Temen gw pake note 9 pro ram 6 pun gak masalah,muzbargaming temen gw pake note pro ram gak,"['muzbargaming', 'temen', 'gw', 'pake', 'note', 'pro', 'ram', 'gak']",neutral,0
"@@dollarggwp9048 gua bicara yg PC nya,kalo di mobile yg jelas udh di optimized buat mobile",dollarggwp gua bicara yg pc nyakalo mobile yg udh optimized mobile,"['dollarggwp', 'gua', 'bicara', 'yg', 'pc', 'nyakalo', 'mobile', 'yg', 'udh', 'optimized', 'mobile']",negative,-3
"@@muzbargaming5012 mm, gw seh pake laptop ram 4 Vega 3 lanjay gan set lowest, mungkin gara gara ssd nya kali yak😅",muzbargaming mm gw seh pake laptop ram vega lanjay gan set lowest gara gara ssd nya kali yak,"['muzbargaming', 'mm', 'gw', 'seh', 'pake', 'laptop', 'ram', 'vega', 'lanjay', 'gan', 'set', 'lowest', 'gara', 'gara', 'ssd', 'nya', 'kali', 'yak']",negative,-8
"@@dollarggwp9048 Ssd gak ningkatin performa gan,cuma ningkatin kecepatan loading,tapi bisa kuat mungkin emang spek nya mayan,itu 30 fps atau 60 fps dapetnya?",dollarggwp ssd gak ningkatin performa gancuma ningkatin cepat loadingtapi kuat emang spek nya mayanitu fps fps dapetnya,"['dollarggwp', 'ssd', 'gak', 'ningkatin', 'performa', 'gancuma', 'ningkatin', 'cepat', 'loadingtapi', 'kuat', 'emang', 'spek', 'nya', 'mayanitu', 'fps', 'fps', 'dapetnya']",positive,-1
"@@muzbargaming5012 kalo ram nya mentok, kaya punya saya malah bantu banget bang",muzbargaming kalo ram nya mentok kaya bantu banget bang,"['muzbargaming', 'kalo', 'ram', 'nya', 'mentok', 'kaya', 'bantu', 'banget', 'bang']",positive,-5
"@@dollarggwp9048 iya emang kalo ram 4 kebawah,ssd bantu banget,tapi ram 6,8 dst cuma nyepetin loading",dollarggwp iya emang kalo ram kebawahssd bantu bangettapi ram dst nyepetin loading,"['dollarggwp', 'iya', 'emang', 'kalo', 'ram', 'kebawahssd', 'bantu', 'bangettapi', 'ram', 'dst', 'nyepetin', 'loading']",positive,-1
"@@muzbargaming5012 ya begitulah bg, dompet lagi sesak buat up ram",muzbargaming ya bg dompet sesak up ram,"['muzbargaming', 'ya', 'bg', 'dompet', 'sesak', 'up', 'ram']",positive,1
Ni hp rekomen buat main genshin ga ya gan? Lagi nyari hp genshin yg budget nya minim nih.,ni hp rekomen main genshin ga ya gan nyari hp genshin yg budget nya minim nih,"['ni', 'hp', 'rekomen', 'main', 'genshin', 'ga', 'ya', 'gan', 'nyari', 'hp', 'genshin', 'yg', 'budget', 'nya', 'minim', 'nih']",positive,-1
"@@aloysiusgalih3392 bisa bg, temen ane pake renot9pro 6/64 libas",aloysiusgalih bg temen ane pake renotpro libas,"['aloysiusgalih', 'bg', 'temen', 'ane', 'pake', 'renotpro', 'libas']",neutral,0
"@@dollarggwp9048 update nya makin kesini makin ga ngotak kan tu ngab, tetep kuat ye? Hp ane yg sekarang dulu awal2 kuat, tp setelah beberapa kali update mulai tuh ngadet2.",dollarggwp update nya kesini ga ngotak tu ngab tetep kuat ye hp ane yg kuat tp kali update tuh ngadet,"['dollarggwp', 'update', 'nya', 'kesini', 'ga', 'ngotak', 'tu', 'ngab', 'tetep', 'kuat', 'ye', 'hp', 'ane', 'yg', 'kuat', 'tp', 'kali', 'update', 'tuh', 'ngadet']",positive,-2
"@@aloysiusgalih3392 saran seh mending hindari update, atau liat review dulu. Btw gw bukan user siomay",aloysiusgalih saran seh mending hindar update liat review btw gw user siomay,"['aloysiusgalih', 'saran', 'seh', 'mending', 'hindar', 'update', 'liat', 'review', 'btw', 'gw', 'user', 'siomay']",positive,-1
@@dollarggwp9048 update genshin nya maksud ane gan hehe.,dollarggwp update genshin nya maksud ane gan hehe,"['dollarggwp', 'update', 'genshin', 'nya', 'maksud', 'ane', 'gan', 'hehe']",positive,2
"@@aloysiusgalih3392 oh kalo itu mah begitu gan, laptop gw aja makin ngelek",aloysiusgalih oh kalo mah gan laptop gw aja ngelek,"['aloysiusgalih', 'oh', 'kalo', 'mah', 'gan', 'laptop', 'gw', 'aja', 'ngelek']",positive,1
"ASUS ROG Phone 5 Ultimate yang versi RAM 12GB dan Int. Storage 1.0TB mungkin bisa handle Genshin dan Honkai, toh SoC nya juga udah pake SD888 juga koq.. 
😇👍🏻😁",asus rog phone ultimate versi ram gb int storage tb handle genshin honkai soc nya udah pake sd koq,"['asus', 'rog', 'phone', 'ultimate', 'versi', 'ram', 'gb', 'int', 'storage', 'tb', 'handle', 'genshin', 'honkai', 'soc', 'nya', 'udah', 'pake', 'sd', 'koq']",neutral,0
"1:31 - don't worry be happy Dave, subscribermu ini Die Harder nya TokPed koq.. 👍🏻😁",dont worry be happy dave subscribermu die harder nya tokped koq,"['dont', 'worry', 'be', 'happy', 'dave', 'subscribermu', 'die', 'harder', 'nya', 'tokped', 'koq']",positive,1
terus terang bget nih david review jujur ny.. mntep lah 👍,terang bget nih david review jujur ny mntep,"['terang', 'bget', 'nih', 'david', 'review', 'jujur', 'ny', 'mntep']",positive,2
Unboxing infinix hot 11 pro bg.,unboxing infinix hot pro bg,"['unboxing', 'infinix', 'hot', 'pro', 'bg']",negative,-4
Lebih baik infinix note 10 pro atau redmi note 10s ya guys?,infinix note pro redmi note s ya guys,"['infinix', 'note', 'pro', 'redmi', 'note', 's', 'ya', 'guys']",positive,5
Tergantung selera masing2 pengguna. Tapi menurut saya lebih bagus Infinix Note 10 Pro. #XMission,gantung selera guna bagus infinix note pro xmission,"['gantung', 'selera', 'guna', 'bagus', 'infinix', 'note', 'pro', 'xmission']",positive,-1
Bang david comparein sama xiaomi redmi note 10s dong,bang david comparein xiaomi redmi note s,"['bang', 'david', 'comparein', 'xiaomi', 'redmi', 'note', 's']",neutral,0
"David said : Padahal sayamah suka keributan sih, antar sesama brand",david said sayamah suka ribut sih brand,"['david', 'said', 'sayamah', 'suka', 'ribut', 'sih', 'brand']",positive,2
"infinix juga anak usahanya xiaomi bang, apa apaan",infinix anak usaha xiaomi bang,"['infinix', 'anak', 'usaha', 'xiaomi', 'bang']",negative,-6
Porsche,porsche,['porsche'],neutral,0
J5 2016 sungkem,j sungkem,"['j', 'sungkem']",neutral,0
Endorsan fix,endorsan fix,"['endorsan', 'fix']",neutral,0
Tumben,tumben,['tumben'],negative,-2
hp mu gak ada yang mau di jual gak bang,hp mu gak jual gak bang,"['hp', 'mu', 'gak', 'jual', 'gak', 'bang']",positive,1
saya suka keributan 😂,suka ribut,"['suka', 'ribut']",positive,2
Porshe Cayman rasa ferari:v,porshe cayman ferariv,"['porshe', 'cayman', 'ferariv']",neutral,0
review oppo reno 6 bang,review oppo reno bang,"['review', 'oppo', 'reno', 'bang']",neutral,0
Punya ku bru 1> bln ..pdhl.kelur bru .v dh eror ..😪😪,ku bru bln pdhlkelur bru v dh eror,"['ku', 'bru', 'bln', 'pdhlkelur', 'bru', 'v', 'dh', 'eror']",negative,-4
